event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2007.196.09.27.34	GARY	82	88	-92	0.63	0.8	1.05	g
2007.213.17.08.51	GARY	-90	-85	-86	1.05	1.4	1.68	g
2007.235.11.34.24	GARY	39	43	50	1.05	1.2	1.47	g
2007.270.19.57.44	GARY	60	85	-86	0.42	0.8	1.47	f
2007.271.00.44.47	GARY	88	-87	-86	1.05	1.4	1.89	g
2007.271.01.01.49	GARY	27	83	-80	0.21	0.8	1.89	f
2007.271.01.35.51	GARY	84	87	-90	0.84	1	1.26	g
2007.271.08.21.22	GARY	29	81	-80	0.21	0.6	1.47	f
2007.271.11.12.40	GARY	70	87	-84	0.63	1	1.68	f
2007.271.11.16.39	GARY	74	81	-92	0.63	0.8	1.26	g
2007.272.15.36.44	GARY	31	71	-86	0.21	0.6	1.05	f
2007.272.17.24.58	GARY	52	75	88	0.63	0.8	1.05	g
2007.278.07.17.52	GARY	66	78	88	0.63	0.8	1.05	g
2007.289.21.05.43	GARY	66	68	72	0.84	0.8	0.84	g
2007.331.11.49.58	GARY	54	70	86	0.42	0.6	0.84	f
2007.343.07.28.20	GARY	62	81	-90	0.42	0.8	1.26	f
2007.354.07.55.15	GARY	66	78	-92	0.63	0.8	1.05	g
2008.005.11.01.06	GARY	68	77	86	0.63	0.8	1.05	g
2008.072.11.23.34	GARY	62	84	-92	0.42	0.6	0.84	f
2008.072.11.36.55	GARY	48	72	88	0.63	0.8	1.26	f
2008.100.11.13.17	GARY	88	-88	-88	1.05	1.2	1.68	g
2008.100.11.23.40	GARY	74	84	-90	1.26	1.8	2.74	f
2008.100.12.46.12	GARY	33	80	-92	0.21	0.4	0.63	f
2008.100.14.47.50	GARY	78	90	-88	0.63	1	1.47	f
2008.102.17.45.01	GARY	41	70	-88	0.42	0.6	1.26	f
2008.103.00.30.12	GARY	-88	-70	-58	0.63	0.8	1.26	f
2008.110.05.58.42	GARY	84	-90	-86	0.63	1	1.47	g
2008.119.18.33.34	GARY	64	74	82	0.63	0.6	0.84	g
2008.119.20.26.53	GARY	66	88	-84	0.42	1	2.11	f
2008.178.21.19.15	GARY	-11	-6	-1	2.11	2.6	3.16	f
2008.210.21.37.32	GARY	35	53	76	0.63	1	1.47	f
2008.222.16.36.38	GARY	31	36	37	1.68	1.8	2.11	f
2008.245.04.00.39	GARY	60	65	72	0.84	0.8	0.84	g
2008.248.09.37.03	GARY	84	86	88	0.84	0.8	0.84	g
2008.248.16.09.51	GARY	41	63	-92	0.42	1	1.47	f
2008.252.03.03.15	GARY	82	86	-92	0.63	0.8	1.05	g
2008.273.15.19.31	GARY	33	81	-78	0.21	0.6	1.89	f
2008.309.18.35.45	GARY	66	76	82	0.63	0.8	0.84	g
2008.311.09.11.05	GARY	66	73	82	0.84	1	1.26	g
2008.345.13.15.34	GARY	88	-90	-88	0.63	1	1.26	g
2009.015.07.27.20	GARY	52	85	-86	0.42	0.8	1.47	f
2009.019.03.35.18	GARY	29	81	-80	0.21	0.6	1.89	f
2009.049.21.53.45	GARY	66	76	88	1.05	1.2	1.68	g
2009.111.00.53.13	GARY	70	77	84	1.05	1.2	1.47	g
2009.116.00.06.53	GARY	70	80	88	1.05	1.2	1.47	g
2009.121.06.03.05	GARY	37	47	64	0.63	0.8	1.05	g
2009.153.02.17.03	GARY	88	88	-92	1.05	1	1.05	g
2009.156.21.16.55	GARY	66	74	86	0.63	0.8	1.05	g
2009.163.09.44.15	GARY	-92	-88	-86	1.05	1.4	1.89	g
2009.206.19.03.20	GARY	68	79	-92	1.05	1.4	2.11	f
2009.217.08.31.40	GARY	66	72	84	0.84	1	1.26	g
2009.276.07.16.59	GARY	17	32	72	0.21	0.4	0.84	f
2009.285.20.59.38	GARY	46	82	-88	0.42	0.8	1.47	g
2009.290.13.18.40	GARY	-11	-5	-1	2.74	2.8	3.16	f
2009.292.22.49.38	GARY	-29	-15	-9	0.63	1	1.47	f
2009.304.19.09.51	GARY	72	88	-90	0.42	0.8	1.05	g
2009.306.10.47.13	GARY	70	76	88	0.84	1	1.47	g
2009.321.15.30.47	GARY	64	83	-88	0.84	1.4	2.11	g
2009.328.12.47.15	GARY	58	69	82	0.42	0.6	0.84	g
2010.027.17.42.45	GARY	3	4	7	1.47	1.6	1.89	g
2010.063.14.02.27	GARY	84	89	-90	0.63	0.8	0.84	g
2010.152.16.47.32	GARY	39	46	52	1.05	1.2	1.47	g
2010.222.05.23.44	GARY	35	72	-88	0.42	0.6	1.26	f
2010.222.23.18.31	GARY	84	86	88	0.84	0.8	0.84	g
2010.246.16.35.47	GARY	64	78	-86	0.42	0.6	0.84	f
2010.306.23.08.07	GARY	-5	-1	1	1.68	1.8	2.32	f
2010.307.23.34.42	GARY	62	78	86	0.42	0.6	0.84	g
2010.359.13.16.37	GARY	27	38	82	0.42	0.8	2.11	f
2011.009.10.03.43	GARY	84	87	-92	0.84	0.8	1.05	g
2011.026.17.03.30	GARY	80	85	-92	0.63	0.8	1.05	g
2011.035.14.20.55	GARY	66	86	-88	0.63	1	1.68	f
2011.052.10.57.52	GARY	70	71	74	0.84	0.8	0.84	g
2011.076.02.48.00	GARY	84	-86	-84	0.84	1.6	2.53	f
2011.079.15.20.28	GARY	46	53	64	0.84	1	1.47	f
2011.085.22.49.40	GARY	21	29	43	0.42	0.8	1.26	f
2011.093.14.07.09	GARY	68	72	76	0.84	1	1.05	g
2011.108.13.03.02	GARY	84	88	-88	1.05	1.2	1.47	g
2011.113.04.16.54	GARY	19	56	-86	0.21	0.2	0.84	f
2011.130.08.55.08	GARY	78	-90	-84	0.63	1.2	1.89	f
2007.231.13.44.04	GUGE	-41	-4	1	0.21	0.4	0.42	f
2007.271.00.44.47	GUGE	-82	-80	-80	2.53	3	3.79	f
2007.271.01.01.49	GUGE	-86	-82	-82	2.11	2.4	3.16	g
2007.273.05.23.34	GUGE	60	-70	-52	0.21	0.4	1.26	f
2007.288.12.29.34	GUGE	68	83	-84	1.05	1.4	2.11	g
2007.354.07.55.15	GUGE	-76	-70	-72	1.89	2.2	2.74	f
2008.032.10.26.09	GUGE	43	52	60	1.26	1.4	1.89	g
2008.032.12.10.06	GUGE	-11	-5	-5	2.74	2.8	3.16	f
2008.115.12.14.49	GUGE	35	56	70	0.63	1	1.47	g
2008.073.13.28.44	GUGE	-39	18	27	0.21	0.6	1.47	f
2008.210.21.37.32	GUGE	-62	-36	-7	0.21	0.6	0.84	f
